Sequence name	HCV-I_PV1_Run3_B	HCV-H_PV1_Run3_B	HCV-J_PV1_Run3_A	JAS_PV1_Run10_A	HCV-H_PV1_Run3_A	HCV-I_PV1_Run3_A	HCV-J_PV1_Run3_B	SB_PV1_Run3_A	JAS_PV1_Run10_B	SB_PV1_Run3_B
PV1_000105	0.93	-1.00	-0.49	0.09	0.33	-0.59	0.13	-0.25	0.79	0.25
PV1_000106	0.00	1.65	0.59	-1.00	1.07	0.43	-0.56	-0.30	0.74	0.30
PV1_000107	-0.08	-0.46	-0.21	-0.22	-0.37	-0.47	-0.19	0.14	-0.15	-0.14
PV1_000108	inf	nan	inf	nan	inf	inf	inf	nan	inf	nan
PV1_000109	0.56	1.29	0.24	0.32	-0.19	-0.01	0.14	0.22	0.09	-0.22
PV1_000110	3.26	-1.00	2.40	6.25	-1.00	8.46	-1.00	1.00	16.84	-1.00
PV1_000111	-0.39	-0.52	-0.05	-0.77	-0.30	-0.44	-0.16	0.15	-0.53	-0.15
PV1_000112	-0.15	-0.00	-0.10	-0.04	0.02	-0.08	-0.42	0.19	0.05	-0.19
PV1_000113	-1.00	-1.00	8.73	-1.00	1.30	6.04	0.96	0.04	0.55	-0.04
PV1_000114	-0.61	-0.32	-0.54	0.32	-0.70	-0.51	-0.49	-0.00	-0.60	0.00
PV1_000115	nan	nan	nan	nan	nan	inf	nan	nan	nan	nan
PV1_000116	-1.00	-1.00	15.99	20.75	-1.00	5.76	6.52	1.00	7.92	-1.00
PV1_000117	0.40	-0.10	-0.49	-0.35	-0.47	-0.48	-0.16	0.31	0.69	-0.31
PV1_000118	0.28	-0.60	-0.38	-0.30	-0.31	-0.55	-0.48	0.07	-0.04	-0.07
PV1_000119	1.72	-0.04	2.69	2.70	1.25	4.35	0.92	0.53	0.52	-0.53
PV1_000120	-1.00	-1.00	-0.08	-1.00	2.60	1.94	-1.00	-1.00	0.61	1.00
PV1_000121	-1.00	-1.00	0.70	-1.00	-1.00	-1.00	-1.00	1.00	1.97	-1.00
PV1_000122	-0.23	-0.25	-0.90	-0.42	-0.16	-0.57	-0.77	0.08	-0.46	-0.08
PV1_000123	-1.00	3.60	0.38	6.37	1.69	0.37	1.29	0.63	1.42	-0.63
PV1_000124	2.32	4.03	-0.24	-1.00	-0.51	-0.10	-1.00	1.00	-0.34	-1.00
PV1_000125	-0.04	-1.00	-0.62	-1.00	-0.00	-0.24	0.70	0.58	1.36	-0.58
PV1_000126	-0.02	-0.26	0.78	-0.29	-0.06	-0.16	0.23	-0.15	-0.32	0.15
PV1_000127	3.27	-1.00	-1.00	6.26	1.21	5.76	-1.00	1.00	1.98	-1.00
PV1_000128	0.21	1.13	-0.68	-1.00	-0.37	-0.23	0.77	0.13	0.68	-0.13
PV1_000129	-0.01	3.38	0.58	0.69	0.03	2.61	-0.13	-0.07	1.07	0.07
PV1_000130	-0.46	0.90	0.14	-0.09	-0.26	-0.15	0.11	-0.16	-0.38	0.16
PV1_000131	11.80	119.74	6.65	28.03	111.70	0.35	2.76	1.00	10.90	-1.00
PV1_000132	0.40	-0.50	-0.66	-1.00	-0.56	-0.73	-0.51	-0.21	-0.41	0.21
PV1_000133	-1.00	-0.04	0.08	-1.00	-0.72	0.38	1.88	0.53	0.90	-0.53
PV1_000134	-0.36	-1.00	-1.00	3.34	-1.00	-0.39	-0.44	-0.10	0.34	0.10
PV1_000135	-0.07	-0.65	-0.44	-0.21	-0.66	-0.33	-0.12	-0.03	-0.07	0.03
PV1_000136	-1.00	-1.00	-0.15	6.26	4.52	2.38	2.76	1.00	0.49	-1.00
PV1_000137	-0.12	0.04	-0.30	-1.00	0.37	0.30	-0.74	0.24	0.23	-0.24
PV1_000138	-0.07	0.37	-0.38	-0.47	-0.12	-0.26	-0.05	-0.20	0.40	0.20
PV1_000139	-1.00	-1.00	89.40	14.75	15.78	38.62	56.11	-1.00	24.82	1.00
PV1_000140	-0.63	-0.67	-0.33	-0.05	-0.42	-0.41	-0.51	-0.04	0.17	0.04
PV1_000141	1.14	0.52	-0.32	0.82	-0.33	-0.32	-0.62	-0.30	0.20	0.30
PV1_000142	-0.12	2.12	2.51	-0.25	-0.77	-0.16	1.72	0.24	1.46	-0.24
PV1_000143	0.15	0.13	-0.50	-0.17	-0.43	-0.41	0.39	0.02	-0.08	-0.02
PV1_000144	0.22	-1.00	-0.35	0.39	-0.37	0.29	-0.28	-0.23	-0.43	0.23
PV1_000145	-0.12	-0.51	-0.45	-0.53	-0.29	-0.70	-0.66	-0.30	-0.16	0.30
PV1_000146	0.42	-1.00	5.80	8.67	4.89	12.07	9.03	1.00	2.97	-1.00
PV1_000147	nan	nan	inf	nan	nan	inf	nan	nan	inf	nan
PV1_000148	nan	nan	inf	nan	inf	inf	nan	nan	nan	nan
PV1_000149	0.40	-0.52	-0.59	-0.31	-0.63	-0.38	0.27	0.14	-0.24	-0.14
PV1_000150	-0.06	-0.45	-0.13	1.13	-0.03	4.47	0.66	0.32	-0.13	-0.32
PV1_000151	0.08	0.59	-0.28	-0.39	0.30	-0.60	-1.00	-0.24	-0.25	0.24
PV1_000152	0.82	-0.42	-0.14	-1.00	0.54	-0.11	0.17	-0.07	-0.65	0.07
PV1_000153	-1.00	-1.00	2.40	-1.00	0.10	2.38	0.88	1.00	1.98	-1.00
PV1_000154	0.46	-1.00	-0.22	0.66	-0.24	-0.07	-0.57	0.37	-0.66	-0.37
PV1_000155	0.60	0.05	0.89	-0.09	-0.54	-0.34	1.88	-0.03	0.49	0.03
PV1_000156	7.53	-1.00	0.70	-1.00	5.62	3.05	6.52	1.00	10.89	-1.00
PV1_000157	-0.35	-0.54	-0.50	-0.56	-0.24	-0.44	-0.43	-0.01	-0.22	0.01
PV1_000158	0.87	7.82	83.73	0.06	16.11	7.50	35.26	0.46	-0.13	-0.46
PV1_000159	-0.24	-0.03	-0.56	0.17	-0.22	-0.61	-0.51	-0.16	-0.33	0.16
PV1_000160	0.41	0.56	0.05	0.20	0.00	0.06	1.02	0.24	-0.63	-0.24
PV1_000161	inf	nan	inf	inf	inf	inf	inf	nan	inf	nan
PV1_000162	0.42	-0.21	-0.35	-0.24	-0.27	-0.10	-0.80	0.26	0.25	-0.26
PV1_000163	0.36	1.10	1.57	-0.13	-0.38	0.83	3.34	0.19	1.49	-0.19
PV1_000164	-0.63	-0.67	-0.63	-0.69	-0.14	-0.30	-0.67	0.12	-0.87	-0.12
PV1_000165	1.41	0.83	-0.31	-0.41	0.43	-0.45	0.22	-0.19	-0.76	0.19
PV1_000166	-0.87	-1.00	0.46	0.11	-0.53	-0.50	0.50	0.04	0.28	-0.04
PV1_000167	nan	nan	inf	nan	inf	inf	nan	nan	nan	nan
PV1_000168	nan	nan	inf	nan	inf	inf	inf	nan	inf	nan
PV1_000169	2.09	1.73	3.92	-1.00	-1.00	-0.02	0.36	-1.00	1.15	1.00
PV1_000170	-0.17	-0.51	-0.83	-0.53	-0.64	-0.52	-0.88	-0.61	-0.81	0.61
PV1_000171	0.24	-0.27	-0.67	-0.29	-0.79	0.45	-0.27	-0.61	-0.42	0.61
PV1_000172	3.26	-1.00	5.80	-1.00	-1.00	3.05	6.52	1.00	7.92	-1.00
PV1_000173	-0.54	-0.60	-0.27	-1.00	-0.76	-0.42	-0.20	0.61	-0.52	-0.61
PV1_000174	-0.74	-1.00	-0.69	-1.00	-0.45	-0.58	-0.54	-0.14	-0.45	0.14
PV1_000175	-0.66	0.83	-0.59	0.17	0.43	0.09	0.22	-0.19	-0.04	0.19
PV1_000176	nan	inf	inf	nan	nan	inf	nan	nan	inf	nan
PV1_000177	3.27	-0.06	-0.15	-1.00	0.93	1.03	-0.06	1.00	-0.26	-1.00
PV1_000178	-1.00	-1.00	5.80	-1.00	5.62	9.81	14.03	1.00	1.97	-1.00
PV1_000179	1.11	-0.38	-0.16	0.20	-0.45	0.67	0.55	-0.67	1.21	0.67
PV1_000180	-1.00	2.87	0.45	-1.00	-0.24	2.01	-0.36	0.37	0.53	-0.37
PV1_000181	-1.00	0.53	9.37	-1.00	0.80	1.20	5.11	0.63	-1.00	-0.63
PV1_000182	0.04	0.27	-0.39	0.09	0.12	-0.19	0.20	-0.17	-0.11	0.17
PV1_000183	-0.17	-0.37	-0.03	-0.60	-0.36	-0.01	0.56	0.11	-0.38	-0.11
PV1_000184	4.19	2.53	2.66	0.36	1.27	1.02	3.57	0.31	2.90	-0.31
PV1_000185	-1.00	-1.00	5.00	-1.00	-0.40	1.57	5.12	-1.00	-0.19	1.00
PV1_000186	-0.11	0.57	0.41	0.00	-0.08	0.68	-0.22	0.11	-0.59	-0.11
PV1_000187	-0.07	-0.03	-0.59	-0.44	-0.06	-0.65	-0.18	0.08	-0.12	-0.08
PV1_000188	-0.53	0.12	0.26	-0.73	-0.75	-0.40	0.12	0.11	-0.67	-0.11
PV1_000189	-0.90	0.11	-0.54	-0.65	-0.24	-0.57	-0.72	0.37	-0.49	-0.37
PV1_000190	0.51	-0.47	-0.22	-0.49	-0.40	-0.25	0.02	0.09	0.05	-0.09
PV1_000191	0.60	-0.53	-0.47	1.27	-0.31	-0.15	1.59	-0.50	1.98	0.50
PV1_000192	0.08	-1.00	0.72	-1.00	0.39	2.07	0.90	0.77	0.13	-0.77
PV1_000193	-0.18	-0.57	-0.41	-0.44	-0.15	-0.38	-0.06	0.15	-0.54	-0.15
PV1_000194	-0.52	0.38	-0.21	-0.28	-0.25	-0.26	0.16	0.01	-0.16	-0.01
PV1_000195	nan	nan	inf	nan	inf	inf	inf	nan	inf	nan
PV1_000196	-0.25	2.32	-0.25	0.91	-0.03	-0.52	-0.67	-0.30	1.62	0.30
PV1_000197	nan	nan	inf	nan	nan	inf	nan	nan	inf	nan
PV1_000198	-0.75	-0.12	-0.11	-1.00	0.42	0.89	0.32	-0.18	0.04	0.18
PV1_000199	1.40	-1.00	-0.05	-0.32	-1.00	-0.37	-1.00	0.31	-0.44	-0.31
PV1_000200	-1.00	-1.00	1.99	-1.00	-1.00	2.33	0.32	-0.30	2.14	0.30
PV1_000201	1.22	-1.00	1.21	-1.00	-0.43	0.41	-1.00	0.04	-0.23	-0.04
PV1_000202	0.05	0.55	-0.86	-0.40	-0.45	-0.22	-0.54	0.32	-0.39	-0.32
PV1_000203	3.88	0.36	0.64	1.19	0.46	-0.43	1.04	0.45	0.97	-0.45
PV1_000204	-0.53	-0.17	-0.81	-0.60	-0.15	-0.55	-0.59	-0.12	-0.84	0.12
PV1_000205	-0.81	-0.67	2.46	-0.04	0.27	0.20	1.33	0.59	-0.21	-0.59
PV1_000206	0.45	0.38	-0.29	1.28	0.85	-0.50	0.08	-0.11	0.40	0.11
PV1_000207	2.20	0.89	5.38	-1.00	0.66	3.06	1.82	1.00	0.49	-1.00
PV1_000208	35.84	5.08	3.70	80.89	10.70	117.19	1.60	0.15	42.17	-0.15
PV1_000209	-0.63	-1.00	-0.26	-1.00	-0.52	-0.36	-0.19	0.12	-0.10	-0.12
PV1_000210	-0.23	-0.46	-0.51	-0.48	-0.13	-0.27	-0.86	0.01	-0.04	-0.01
PV1_000211	7.88	6.85	6.08	-1.00	0.15	3.22	4.87	0.04	0.55	-0.04
PV1_000212	1.56	3.53	3.08	1.90	5.19	7.66	3.51	1.00	1.98	-1.00
PV1_000213	nan	nan	inf	nan	nan	inf	nan	nan	nan	nan
PV1_000214	0.12	-1.00	0.01	0.43	-0.13	0.24	0.73	-0.21	-0.41	0.21
PV1_000215	1.95	-0.13	4.87	-0.16	0.02	2.27	0.73	0.15	2.08	-0.15
PV1_000216	7.53	4.03	5.23	-1.00	1.21	4.86	15.29	1.00	3.96	-1.00
PV1_000217	-0.36	0.38	-0.75	0.09	-0.60	-0.37	-0.50	-0.13	-0.60	0.13
PV1_000218	0.14	-0.60	-0.37	0.35	-0.35	-0.28	0.50	0.12	-0.21	-0.12
PV1_000219	-0.10	-1.00	-0.35	-0.38	0.12	-0.31	-0.84	-0.41	-0.37	0.41
PV1_000220	-1.00	-1.00	2.69	-1.00	8.59	7.80	7.16	-1.00	-1.00	1.00
PV1_000221	-0.26	-0.35	6.18	2.75	0.33	0.98	3.21	0.21	0.54	-0.21
PV1_000222	-1.00	21.63	4.67	-1.00	31.40	1.25	1.51	1.00	-1.00	-1.00
PV1_000223	-0.43	4.01	1.48	-0.04	-0.12	1.69	0.50	-0.47	2.56	0.47
PV1_000224	-0.38	0.10	-0.81	0.33	-0.60	-0.85	-0.59	-0.42	-0.24	0.42
PV1_000225	0.48	-0.45	-0.41	0.46	0.01	-0.56	-0.04	0.02	0.09	-0.02
PV1_000226	inf	nan	inf	inf	inf	inf	inf	nan	inf	nan
PV1_000227	-0.26	-0.35	0.00	0.76	-0.04	-0.04	0.37	0.11	0.18	-0.11
PV1_000228	-0.01	-1.00	0.19	-1.00	-1.00	-0.69	-0.56	-0.07	0.04	0.07
PV1_000229	-0.77	-1.00	1.23	-0.60	0.21	0.70	0.23	0.09	0.14	-0.09
PV1_000230	-1.00	-1.00	1.21	-1.00	1.40	0.76	-1.00	-1.00	-1.00	1.00
PV1_000231	1.13	-1.00	5.80	-1.00	0.10	9.14	2.76	1.00	3.46	-1.00
PV1_000232	0.99	0.64	1.91	-0.10	1.06	2.61	1.22	-0.32	0.76	0.32
PV1_000233	0.42	2.77	-0.72	2.63	0.84	-0.10	0.88	1.00	0.49	-1.00
PV1_000234	1.84	9.06	0.70	-1.00	-1.00	5.76	5.27	1.00	3.96	-1.00
PV1_000235	0.37	-0.87	-0.86	-0.63	-0.55	-0.66	-0.04	-0.19	-0.55	0.19
PV1_000236	0.09	0.35	-0.38	0.55	-0.15	-0.24	-0.17	0.02	-0.14	-0.02
PV1_000237	0.13	-1.00	-0.10	-1.00	-0.41	0.80	-1.00	-0.47	2.16	0.47
PV1_000238	-0.25	-0.85	-0.80	-0.29	-0.44	-0.66	-0.78	0.21	-0.42	-0.21
PV1_000239	-0.70	-0.34	-0.20	-0.37	-0.23	-0.34	-0.41	-0.09	-0.69	0.09
PV1_000240	-1.00	-1.00	21.09	-1.00	7.83	7.11	25.30	1.00	10.89	-1.00
PV1_000241	4.69	-1.00	-1.00	1.42	0.47	0.35	1.51	1.00	3.96	-1.00
PV1_000242	1.20	0.44	0.07	0.39	0.10	-0.09	1.09	0.22	0.14	-0.22
PV1_000243	nan	nan	inf	inf	nan	inf	inf	nan	inf	nan
PV1_000244	-1.00	-1.00	0.75	-1.00	1.27	3.17	0.29	0.37	-1.00	-0.37
PV1_000245	2.31	0.47	1.86	0.88	0.72	1.10	2.89	0.16	-0.04	-0.16
PV1_000246	0.73	-0.04	0.08	0.10	0.12	0.23	-0.24	0.07	0.21	-0.07
PV1_000247	0.42	0.26	0.70	-1.00	-0.26	1.71	-0.37	1.00	2.47	-1.00
PV1_000248	-0.49	-0.50	-0.60	-0.52	-0.21	-0.57	-0.26	-0.24	-0.10	0.24
PV1_000249	nan	inf	inf	inf	inf	inf	inf	nan	inf	nan
PV1_000250	-0.10	-1.00	0.78	2.05	0.86	0.99	-1.00	-0.16	2.12	0.16
PV1_000251	-0.55	-0.21	0.96	-1.00	-0.07	-0.01	-0.61	-0.16	-1.00	0.16
PV1_000252	-0.33	-1.00	-0.60	-1.00	-0.65	-0.57	-1.00	0.42	1.35	-0.42
PV1_000253	-0.90	-1.00	-0.59	-0.82	-0.57	-0.34	-0.73	-0.08	-0.93	0.08
PV1_000254	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PV1_000255	-1.00	-1.00	1.66	-1.00	-1.00	2.52	-1.00	0.04	0.55	-0.04
PV1_000256	-0.07	-1.00	0.11	-0.21	-0.28	0.76	0.43	0.30	0.29	-0.30
PV1_000257	-1.00	-1.00	-0.15	-1.00	-1.00	0.35	-1.00	1.00	-1.00	-1.00
PV1_000258	-0.71	-0.74	0.23	-0.00	0.22	-0.35	-0.09	-0.59	-0.49	0.59
PV1_000259	0.58	-1.00	0.78	-0.10	0.91	1.59	0.62	-0.14	1.02	0.14
PV1_000260	-0.09	-0.19	2.27	3.65	-0.29	1.02	2.61	-0.57	0.59	0.57
PV1_000261	-0.83	-0.40	-0.46	0.57	0.00	-0.52	-0.56	-0.05	0.06	0.05
PV1_000262	nan	nan	inf	nan	nan	inf	inf	nan	inf	nan
PV1_000263	-0.43	-0.24	-0.71	-1.00	-0.48	-0.64	-0.24	0.01	-0.20	-0.01
PV1_000264	nan	inf	nan	nan	inf	inf	nan	nan	nan	nan
PV1_000265	-0.36	-0.43	-0.49	-1.00	-1.00	-0.49	-0.15	-0.25	-0.10	0.25
